time_slot,machine_type,job_0,job_1,job_2,job_3
0,0,2,0,0,0
0,0,1,0,0,1
0,0,0,1,0,1
1,0,2,0,0,0
1,0,0,2,0,0
1,0,2,0,1,0
2,0,2,0,0,0
2,0,0,2,0,0
2,0,0,1,0,1
2,0,0,0,2,0
3,0,1,0,1,0
3,0,0,0,1,1
3,0,0,0,1,1
4,0,3,0,0,0
4,0,0,1,1,0
4,0,2,0,1,0
4,0,0,1,0,1
5,0,0,1,1,0
5,0,0,1,0,1
5,0,0,1,0,1
5,0,0,1,0,1
